Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  41513509	NEW WOK             	481 BROOK AVENUE    	Chinese             	01/02/2016	   
  41513509	NEW WOK             	481 BROOK AVENUE    	Chinese             	01/02/2016	 13
  41513509	NEW WOK             	481 BROOK AVENUE    	Chinese             	01/02/2016	 13
  41513509	NEW WOK             	481 BROOK AVENUE    	Chinese             	01/02/2016	 13
  41585136	DELMY FOOD          	456 EAST 149 STREET 	Spanish             	01/02/2016	 13
  41585136	DELMY FOOD          	456 EAST 149 STREET 	Spanish             	01/02/2016	   
  41585136	DELMY FOOD          	456 EAST 149 STREET 	Spanish             	01/02/2016	 13
  41585136	DELMY FOOD          	456 EAST 149 STREET 	Spanish             	01/02/2016	 13
  41585136	DELMY FOOD          	456 EAST 149 STREET 	Spanish             	01/02/2016	 13
  40365632	J&V FAMOUS PIZZA    	6322 18 AVENUE      	Pizza               	01/04/2016	 13
  40365632	J&V FAMOUS PIZZA    	6322 18 AVENUE      	Pizza               	01/04/2016	 13
  40365632	J&V FAMOUS PIZZA    	6322 18 AVENUE      	Pizza               	01/04/2016	 13
  40365709	IL VAGABONDO RESTAUR	351 EAST 62 STREET  	Italian             	01/04/2016	 21
  40365709	IL VAGABONDO RESTAUR	351 EAST 62 STREET  	Italian             	01/04/2016	 21
  40365709	IL VAGABONDO RESTAUR	351 EAST 62 STREET  	Italian             	01/04/2016	 21
  40365709	IL VAGABONDO RESTAUR	351 EAST 62 STREET  	Italian             	01/04/2016	 21
  40368157	ELEPHANT & CASTLE   	68 GREENWICH AVENUE 	American            	01/04/2016	  3
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40379620	DELMONICO'S KITCHEN 	207 WEST 36 STREET  	American            	01/04/2016	 64
  40388260	AMNON KOSHER PIZZA  	4814 13 AVENUE      	Jewish/Kosher       	01/04/2016	 28
  40388260	AMNON KOSHER PIZZA  	4814 13 AVENUE      	Jewish/Kosher       	01/04/2016	 28
  40388260	AMNON KOSHER PIZZA  	4814 13 AVENUE      	Jewish/Kosher       	01/04/2016	 28
  40388260	AMNON KOSHER PIZZA  	4814 13 AVENUE      	Jewish/Kosher       	01/04/2016	 28
  40388260	AMNON KOSHER PIZZA  	4814 13 AVENUE      	Jewish/Kosher       	01/04/2016	 28
  40394761	E & L BAKERY & COFFE	4202 WHITE PLAINS RO	Bakery              	01/04/2016	  4
